student_id,timestamp,course_name,enrollment_status,grade_point_average,attendance_rate,scholarship_percent
4a9bd115-f845-422e-a82e-cb6a239b3dc0,2026-01-08T08:36:02.777548,Administração,DROPPED,0.1,93,50
c52a03d9-1dfa-420c-bdab-2f3ced4176d1,2026-03-10T03:57:15.132953,Direito,ACTIVE,1.4,86,0
a21241ef-daac-42e5-8712-bad6a6702578,2026-03-03T09:15:58.584155,Direito,ACTIVE,5.4,65,100
f0addd73-9c35-40d0-9a86-537bc33ff5fa,2026-03-15T11:43:59.108544,Administração,ACTIVE,1.4,56,50
32b2bc4a-4477-47ad-ab8c-d3e687ff6f75,2026-03-09T16:46:47.982013,Engenharia de Software,DROPPED,3.0,80,0
637103f3-217c-4fb6-aaa5-0a363244b485,2026-02-20T23:26:24.811706,Direito,GRADUATED,5.0,61,100
492635df-5801-48e5-b027-6c2acc57149b,2026-01-29T13:54:41.641764,Direito,SUSPENDED,4.1,84,100
39c09982-e293-46f7-803e-6e659a82cf57,2026-02-23T02:39:23.462886,Engenharia de Software,DROPPED,4.8,64,0
8a203d9d-dc9a-4277-9ba6-e62e43f00f51,2026-03-01T14:34:02.438193,Ciência de Dados,ACTIVE,3.2,81,0
bc33fc7d-0781-463f-b546-c37d2e905d0e,2026-03-27T03:21:45.280211,Administração,GRADUATED,9.2,71,100
a2b4d7e8-9b70-4198-848b-3873b6f8bf41,2026-03-01T01:20:59.242677,Ciência de Dados,ACTIVE,3.8,86,50
b953fce2-da1b-4f47-840c-e5a6cdd8a5fe,2026-02-27T01:34:27.677397,Ciência de Dados,ACTIVE,1.4,87,100
b059ad36-6524-43c1-9943-aa58f699e649,2026-02-23T01:03:24.618776,Administração,DROPPED,7.5,53,0
58e6de53-dd80-4894-9a0c-0f69a22adaa5,2026-03-08T02:40:06.147678,Direito,SUSPENDED,1.0,79,0
23b9eaab-279c-4226-a69d-da3aa69e76aa,2026-01-09T03:38:48.936475,Engenharia de Software,SUSPENDED,8.2,67,50
0f31d04c-73cc-49d5-9983-e8c9ef8b1248,2026-02-01T03:43:38.726099,Direito,DROPPED,1.6,67,50
a2ef9ddc-f9a4-4a72-a870-04425ac2288c,2026-03-20T07:03:32.295508,Administração,SUSPENDED,0.2,85,50
09b6cd7e-6afe-4223-981f-08ae671d456e,2026-01-24T01:57:32.022583,Engenharia de Software,ACTIVE,6.0,93,25
a602b754-5b0a-4bc5-8054-6c0d62ec28fb,2026-02-15T12:36:47.275248,Administração,ACTIVE,1.6,64,50
7faf079d-322b-43ec-8865-b2c69b00ef96,2026-03-15T09:08:38.617943,Administração,SUSPENDED,4.6,94,50
a16a5a2f-0217-483a-a58e-9ee7dbf98926,2026-03-14T03:54:09.229203,Engenharia de Software,SUSPENDED,8.3,69,100
d89d2b47-5ad5-4c1e-b982-c0ab02ee3ec2,2026-03-09T23:42:10.060012,Ciência de Dados,GRADUATED,7.2,61,50
6eac3fc6-62e7-481e-a1a7-edf77a178bc2,2026-02-05T18:58:11.786983,Ciência de Dados,DROPPED,3.9,61,0
74f85902-7aac-4b91-b8b3-386cc78bdcd8,2026-03-26T01:46:59.307798,Engenharia de Software,SUSPENDED,9.4,56,50
7fb7b5a0-6d6d-490d-87de-be63ec5d4ce8,2026-02-18T10:25:02.922085,Ciência de Dados,SUSPENDED,5.9,92,25
9a70866d-41ec-44d2-969f-e3a764982be6,2026-03-29T23:37:39.174180,Ciência de Dados,GRADUATED,8.1,87,100
ef7064ea-7806-4a8f-8031-0e4a6683b086,2026-01-04T21:52:55.784636,Ciência de Dados,ACTIVE,6.1,78,25
8d557e7f-2d53-4e6b-b4fb-33729f88b582,2026-01-17T00:02:31.352428,Administração,ACTIVE,0.4,73,50
41788c4d-cc57-4b2b-b868-4ddd595e3bd4,2026-03-29T13:23:30.226955,Engenharia de Software,GRADUATED,7.8,80,0
96080170-ee1d-4613-bb17-f2565c947829,2026-01-16T07:31:58.620030,Direito,ACTIVE,5.2,66,25
d69505b6-15b1-4ab8-89e5-6bd3e8cef3ec,2026-01-08T21:48:16.206346,Direito,GRADUATED,7.5,69,100
29f4ee76-b9d0-45bf-bfc3-4abfb4105ff3,2026-01-12T04:31:21.780186,Ciência de Dados,ACTIVE,2.6,88,0
b0837f3d-1ef9-41d2-a8d1-6123589cdf74,2026-01-27T21:32:09.656950,Direito,SUSPENDED,7.9,82,25
01bd2a17-3264-4536-8ff4-e676b670c0bf,2026-02-19T20:42:50.870904,Ciência de Dados,DROPPED,4.4,72,25
6232e095-c6f1-456c-ad79-e592cbe2f8df,2026-02-16T14:18:06.284509,Administração,SUSPENDED,6.0,75,100
5ede0344-941c-4706-ba3e-adfadea6eaad,2026-02-07T04:19:28.506603,Ciência de Dados,GRADUATED,1.2,89,100
8d9b96e3-c7b9-46d7-a32b-95dee25bee69,2026-02-15T02:15:12.876096,Engenharia de Software,DROPPED,9.1,68,100
27f56d1d-c5f4-4de4-94e5-9555f3b9d826,2026-02-10T06:44:21.805457,Ciência de Dados,GRADUATED,9.3,65,100
a47a7053-6083-46c3-9b0c-d9a3db891df7,2026-01-25T07:55:48.297771,Administração,SUSPENDED,0.8,92,100
b8d899f8-9cc4-4b78-8b83-03effac033a9,2026-03-02T02:51:50.833252,Direito,DROPPED,3.3,52,0
9f7d025d-d22f-435d-8633-4c47fa69f69f,2026-02-06T23:47:11.617131,Administração,SUSPENDED,4.7,96,0
d4eac5f2-3bc2-4a0e-b86c-606e9f53fc48,2026-01-01T14:23:13.369597,Engenharia de Software,SUSPENDED,1.0,59,100
02189971-e77d-4700-a680-c839bc41259f,2026-03-18T18:41:09.288385,Ciência de Dados,SUSPENDED,2.3,75,0
6407a427-dc88-4dba-8053-d10d3afe9368,2026-01-15T08:54:42.854303,Direito,GRADUATED,5.2,53,25
2c27f15b-5be9-4e5c-8ffa-603d045d70b2,2026-01-27T12:29:41.668252,Ciência de Dados,DROPPED,7.2,60,25
5274ee60-94c3-411a-b141-ca35b160effb,2026-03-13T12:54:32.416246,Engenharia de Software,GRADUATED,0.5,89,100
a5210808-84ac-4c7f-9fbc-035ea7fbc658,2026-02-09T07:03:51.032640,Administração,SUSPENDED,2.8,76,0
879cc640-234e-49e7-a73c-671a3616965a,2026-03-27T15:12:46.207469,Engenharia de Software,DROPPED,1.2,88,100
d97f6548-be6e-41a7-b251-60eb7b6e0dd1,2026-02-20T05:54:21.115676,Ciência de Dados,DROPPED,7.7,57,50
baa6b916-e944-4786-8f8c-2b3c2fd6a327,2026-02-06T23:55:07.493170,Administração,ACTIVE,1.7,83,100
54c3e2d8-37af-4b58-afeb-62d180164b13,2026-03-17T07:32:08.124657,Engenharia de Software,DROPPED,9.1,70,50
bb58bee0-0fc7-4d7d-ad05-5e2be995604e,2026-01-30T20:03:50.396125,Administração,DROPPED,8.5,59,100
3f8f49cd-a468-4916-a2b9-cbaafd248f37,2026-03-22T07:19:32.072586,Ciência de Dados,ACTIVE,7.1,92,0
