student_id,timestamp,course_name,enrollment_status,grade_point_average,attendance_rate,scholarship_percent
87b6d430-bafe-4ea9-afa9-b20151a3742d,2026-01-31T03:39:29.770495,Ciência de Dados,DROPPED,7.1,58,50
6f611305-0c83-4e28-a00d-38e20645f07f,2026-01-21T14:39:26.663740,Engenharia de Software,ACTIVE,2.3,93,100
2f16d7d8-0215-4037-a043-71a31e569411,2026-02-19T20:25:07.878469,Administração,DROPPED,5.2,88,100
b86abea0-eff2-4a71-bf74-ed595737bec2,2026-01-15T18:22:08.725204,Ciência de Dados,SUSPENDED,7.1,67,0
b3b0a9de-e6e1-492a-ba87-b3603ff33688,2026-02-03T06:33:07.739175,Administração,DROPPED,3.2,96,0
e4be4f8e-26c3-4bef-a348-a578306c337c,2026-03-08T12:42:28.299746,Administração,GRADUATED,4.8,82,0
fe372af5-76d1-434b-bf9c-c36a33922703,2026-03-29T06:00:39.798755,Administração,ACTIVE,6.1,55,50
09fe1006-be56-49dd-bd02-5ec1f961e1a6,2026-01-09T02:06:41.762493,Engenharia de Software,SUSPENDED,1.4,64,50
b7f17f32-9a67-4570-8047-e6ac805b3991,2026-03-07T22:39:38.973335,Ciência de Dados,SUSPENDED,2.9,88,100
350ef09f-8498-4543-982f-1beffdd3133e,2026-02-09T23:23:30.823717,Administração,GRADUATED,0.1,63,100
30396cdc-57ce-4be3-9d92-323e91e6b328,2026-02-11T10:42:55.650139,Engenharia de Software,SUSPENDED,7.3,82,100
afb5c01f-ad35-4c68-b929-9305a4586943,2026-01-20T10:07:59.123650,Ciência de Dados,SUSPENDED,9.9,61,0
f3fd04f2-9370-4b11-a847-c07f44fdcc55,2026-02-17T23:37:41.595357,Ciência de Dados,ACTIVE,9.2,75,100
63ef1972-f1ea-4fb1-89e6-8de5aac5b2ca,2026-03-06T05:48:33.055098,Ciência de Dados,GRADUATED,6.6,61,50
46db6294-5114-4213-ac94-a5831b471177,2026-01-27T02:07:26.405635,Ciência de Dados,ACTIVE,6.7,78,0
7291357b-d3af-4088-a570-a77f36213695,2026-01-20T00:12:46.313206,Administração,GRADUATED,1.2,79,50
6805241f-4ea5-42cd-8e27-0e1917bfd7f3,2026-01-01T20:51:20.784940,Engenharia de Software,DROPPED,4.1,61,50
e869cbc4-2ce5-4d62-9bee-43bb1578dc41,2026-01-05T18:17:26.732930,Ciência de Dados,GRADUATED,9.0,51,50
9561055e-f32b-4042-870d-92e0546ddec7,2026-01-03T10:56:19.315292,Administração,GRADUATED,3.1,58,100
9c58679b-a023-461a-ad1a-0c142c989355,2026-01-27T15:48:19.183324,Ciência de Dados,DROPPED,5.9,83,100
61e374f4-380b-4752-ae9b-ed6e1159808f,2026-03-08T13:57:44.418737,Ciência de Dados,GRADUATED,0.9,55,100
0aa2c3a3-cb51-4ab1-b0e9-f8b46779c9f5,2026-02-17T08:54:22.926682,Administração,ACTIVE,3.8,73,25
e0dd330a-ee42-4b0a-bfdf-04bafcbb27e0,2026-02-24T02:38:48.047987,Administração,GRADUATED,7.8,61,25
802f4947-929f-4af9-81f1-a8b3dac3c881,2026-03-16T16:33:04.914747,Administração,ACTIVE,6.8,52,50
42a15291-9848-4f2b-916f-e652030b5929,2026-01-24T10:48:47.240221,Direito,ACTIVE,3.7,57,100
9f0841ac-b8f1-41c7-b04a-a7da4a48145f,2026-01-22T13:17:12.303683,Ciência de Dados,SUSPENDED,8.1,61,50
15b52542-e462-4082-a880-a218ed1ceda7,2026-03-04T14:07:59.518353,Administração,GRADUATED,9.7,78,0
0b049368-1bb0-40fe-9364-8fbeadedad6d,2026-03-21T09:33:16.853891,Direito,ACTIVE,9.1,96,25
1075c63c-cae3-419f-b501-1bdb8a7ef6bf,2026-01-07T06:26:03.901030,Direito,ACTIVE,6.1,52,50
fbfb1c6a-bc3e-418d-8951-c2a78a030115,2026-02-22T09:39:59.787817,Administração,DROPPED,3.8,72,25
02541563-022a-40b7-a745-66c3cab6d46b,2026-02-27T03:40:21.890955,Ciência de Dados,ACTIVE,5.7,62,0
25939f2f-5bf0-41ac-ae80-ae90fd93377b,2026-02-19T22:12:39.222003,Direito,ACTIVE,7.8,54,100
072c57e4-21e1-412d-8879-76a00130d1a2,2026-02-11T21:22:00.821506,Direito,DROPPED,1.7,89,100
a5b73b0d-6dcb-43d4-86c4-e282ecfbc1dd,2026-03-12T15:43:56.159281,Administração,DROPPED,0.7,50,0
e8289620-5403-4010-b7f0-5d7f018be951,2026-01-18T15:44:35.618779,Ciência de Dados,SUSPENDED,5.7,86,0
918feeb9-b9e3-4317-8379-92d9464ded0d,2026-01-25T18:39:34.143234,Direito,SUSPENDED,1.3,83,25
281c0db4-3ca6-4914-b30a-af1bb15a3104,2026-02-25T00:26:18.380656,Direito,DROPPED,9.2,55,0
